review_id,emp_id,review_year,rating,goals_met_pct,reviewer_comments,review_date
1,1,2022,4,72,Exceeds expectations. Strong contributor to team goals.,2022-12-15
2,1,2023,4,83,Exceeds expectations. Strong contributor to team goals.,2023-12-15
3,1,2024,4,74,Exceeds expectations. Strong contributor to team goals.,2024-12-15
4,2,2022,2,44,Partially meets expectations. Development plan needed.,2022-12-15
5,2,2023,4,86,Demonstrates leadership potential and initiative.,2023-12-15
6,2,2024,3,69,Meets expectations consistently. Solid contributor.,2024-12-15
7,3,2022,4,64,Demonstrates leadership potential and initiative.,2022-12-15
8,3,2023,4,83,Demonstrates leadership potential and initiative.,2023-12-15
9,3,2024,3,55,Reliable performance across assigned tasks.,2024-12-15
10,4,2022,4,87,Demonstrates leadership potential and initiative.,2022-12-15
11,4,2023,4,70,Exceeds expectations. Strong contributor to team goals.,2023-12-15
12,4,2024,4,90,Exceeds expectations. Strong contributor to team goals.,2024-12-15
13,5,2022,4,78,Exceeds expectations. Strong contributor to team goals.,2022-12-15
14,5,2023,5,90,Exceptional performance. Top contributor.,2023-12-15
15,5,2024,5,93,Exceptional performance. Top contributor.,2024-12-15
16,6,2022,4,83,Demonstrates leadership potential and initiative.,2022-12-15
17,6,2023,3,70,Reliable performance across assigned tasks.,2023-12-15
18,6,2024,3,58,Meets expectations consistently. Solid contributor.,2024-12-15
19,7,2022,4,79,Demonstrates leadership potential and initiative.,2022-12-15
20,7,2023,4,86,Exceeds expectations. Strong contributor to team goals.,2023-12-15
21,8,2023,4,82,Demonstrates leadership potential and initiative.,2023-12-15
22,8,2024,4,59,Demonstrates leadership potential and initiative.,2024-12-15
23,9,2022,4,84,Demonstrates leadership potential and initiative.,2022-12-15
24,9,2023,3,58,Meets expectations consistently. Solid contributor.,2023-12-15
25,9,2024,5,99,Outstanding results and team impact. Promotion candidate.,2024-12-15
26,10,2022,4,78,Exceeds expectations. Strong contributor to team goals.,2022-12-15
27,10,2023,3,73,Reliable performance across assigned tasks.,2023-12-15
28,10,2024,4,86,Exceeds expectations. Strong contributor to team goals.,2024-12-15
29,11,2024,3,72,Meets expectations consistently. Solid contributor.,2024-12-15
30,12,2024,4,84,Exceeds expectations. Strong contributor to team goals.,2024-12-15
31,13,2022,3,69,Reliable performance across assigned tasks.,2022-12-15
32,13,2023,4,81,Demonstrates leadership potential and initiative.,2023-12-15
33,13,2024,3,80,Meets expectations consistently. Solid contributor.,2024-12-15
34,14,2022,4,65,Demonstrates leadership potential and initiative.,2022-12-15
35,14,2023,2,61,Partially meets expectations. Development plan needed.,2023-12-15
36,14,2024,4,76,Demonstrates leadership potential and initiative.,2024-12-15
37,15,2024,4,89,Demonstrates leadership potential and initiative.,2024-12-15
38,16,2022,4,84,Demonstrates leadership potential and initiative.,2022-12-15
39,16,2023,4,76,Exceeds expectations. Strong contributor to team goals.,2023-12-15
40,16,2024,4,85,Demonstrates leadership potential and initiative.,2024-12-15
41,17,2022,3,66,Meets expectations consistently. Solid contributor.,2022-12-15
42,17,2023,4,97,Exceeds expectations. Strong contributor to team goals.,2023-12-15
43,17,2024,4,92,Exceeds expectations. Strong contributor to team goals.,2024-12-15
44,18,2024,3,61,Reliable performance across assigned tasks.,2024-12-15
45,19,2022,3,53,Reliable performance across assigned tasks.,2022-12-15
46,19,2023,2,31,Partially meets expectations. Development plan needed.,2023-12-15
47,19,2024,2,38,Partially meets expectations. Development plan needed.,2024-12-15
48,20,2022,5,100,Exceptional performance. Top contributor.,2022-12-15
49,20,2023,4,71,Exceeds expectations. Strong contributor to team goals.,2023-12-15
50,20,2024,4,75,Demonstrates leadership potential and initiative.,2024-12-15
51,21,2022,3,68,Meets expectations consistently. Solid contributor.,2022-12-15
52,21,2023,5,97,Exceptional performance. Top contributor.,2023-12-15
53,21,2024,4,82,Exceeds expectations. Strong contributor to team goals.,2024-12-15
54,22,2022,3,46,Meets expectations consistently. Solid contributor.,2022-12-15
55,22,2023,4,83,Demonstrates leadership potential and initiative.,2023-12-15
56,22,2024,3,56,Reliable performance across assigned tasks.,2024-12-15
57,23,2022,4,78,Demonstrates leadership potential and initiative.,2022-12-15
58,23,2023,4,82,Demonstrates leadership potential and initiative.,2023-12-15
59,23,2024,5,94,Exceptional performance. Top contributor.,2024-12-15
60,24,2023,4,88,Exceeds expectations. Strong contributor to team goals.,2023-12-15
61,24,2024,3,73,Reliable performance across assigned tasks.,2024-12-15
62,25,2022,3,59,Meets expectations consistently. Solid contributor.,2022-12-15
63,25,2023,3,52,Reliable performance across assigned tasks.,2023-12-15
64,25,2024,4,92,Demonstrates leadership potential and initiative.,2024-12-15
65,26,2022,3,73,Reliable performance across assigned tasks.,2022-12-15
66,26,2023,4,63,Demonstrates leadership potential and initiative.,2023-12-15
67,26,2024,3,62,Meets expectations consistently. Solid contributor.,2024-12-15
68,27,2022,4,72,Exceeds expectations. Strong contributor to team goals.,2022-12-15
69,27,2023,5,93,Outstanding results and team impact. Promotion candidate.,2023-12-15
70,27,2024,3,52,Meets expectations consistently. Solid contributor.,2024-12-15
71,28,2022,2,49,Shows potential but inconsistent delivery.,2022-12-15
72,28,2023,3,68,Reliable performance across assigned tasks.,2023-12-15
73,28,2024,4,91,Demonstrates leadership potential and initiative.,2024-12-15
74,29,2022,1,28,Performance below expectations. PIP recommended.,2022-12-15
75,29,2023,4,79,Demonstrates leadership potential and initiative.,2023-12-15
76,29,2024,4,91,Exceeds expectations. Strong contributor to team goals.,2024-12-15
77,30,2023,3,67,Meets expectations consistently. Solid contributor.,2023-12-15
78,30,2024,4,84,Demonstrates leadership potential and initiative.,2024-12-15
79,31,2022,4,81,Demonstrates leadership potential and initiative.,2022-12-15
80,31,2023,5,100,Outstanding results and team impact. Promotion candidate.,2023-12-15
81,31,2024,4,87,Exceeds expectations. Strong contributor to team goals.,2024-12-15
82,32,2022,4,81,Exceeds expectations. Strong contributor to team goals.,2022-12-15
83,32,2023,2,38,Partially meets expectations. Development plan needed.,2023-12-15
84,32,2024,4,88,Exceeds expectations. Strong contributor to team goals.,2024-12-15
85,34,2022,2,52,Shows potential but inconsistent delivery.,2022-12-15
86,34,2023,4,72,Exceeds expectations. Strong contributor to team goals.,2023-12-15
87,34,2024,5,100,Outstanding results and team impact. Promotion candidate.,2024-12-15
88,36,2023,3,61,Meets expectations consistently. Solid contributor.,2023-12-15
89,36,2024,4,80,Exceeds expectations. Strong contributor to team goals.,2024-12-15
90,37,2024,3,73,Reliable performance across assigned tasks.,2024-12-15
91,38,2022,1,29,Performance below expectations. PIP recommended.,2022-12-15
92,38,2023,5,100,Outstanding results and team impact. Promotion candidate.,2023-12-15
93,38,2024,3,64,Reliable performance across assigned tasks.,2024-12-15
94,39,2022,4,97,Demonstrates leadership potential and initiative.,2022-12-15
95,39,2023,3,63,Meets expectations consistently. Solid contributor.,2023-12-15
96,39,2024,4,67,Demonstrates leadership potential and initiative.,2024-12-15
97,40,2022,2,31,Shows potential but inconsistent delivery.,2022-12-15
98,40,2023,4,87,Demonstrates leadership potential and initiative.,2023-12-15
99,40,2024,5,94,Outstanding results and team impact. Promotion candidate.,2024-12-15
100,41,2022,4,92,Demonstrates leadership potential and initiative.,2022-12-15
101,42,2023,4,78,Demonstrates leadership potential and initiative.,2023-12-15
102,42,2024,2,49,Shows potential but inconsistent delivery.,2024-12-15
103,43,2022,4,81,Exceeds expectations. Strong contributor to team goals.,2022-12-15
104,43,2023,3,60,Meets expectations consistently. Solid contributor.,2023-12-15
105,44,2022,4,80,Exceeds expectations. Strong contributor to team goals.,2022-12-15
106,44,2023,5,100,Outstanding results and team impact. Promotion candidate.,2023-12-15
107,44,2024,3,63,Meets expectations consistently. Solid contributor.,2024-12-15
108,45,2022,4,86,Demonstrates leadership potential and initiative.,2022-12-15
109,45,2023,3,72,Reliable performance across assigned tasks.,2023-12-15
110,45,2024,5,100,Exceptional performance. Top contributor.,2024-12-15
111,46,2023,3,61,Meets expectations consistently. Solid contributor.,2023-12-15
112,46,2024,4,84,Exceeds expectations. Strong contributor to team goals.,2024-12-15
113,47,2022,4,85,Demonstrates leadership potential and initiative.,2022-12-15
114,47,2023,4,87,Exceeds expectations. Strong contributor to team goals.,2023-12-15
115,47,2024,3,62,Meets expectations consistently. Solid contributor.,2024-12-15
116,48,2022,3,70,Meets expectations consistently. Solid contributor.,2022-12-15
117,48,2023,4,70,Demonstrates leadership potential and initiative.,2023-12-15
118,48,2024,3,64,Reliable performance across assigned tasks.,2024-12-15
119,49,2022,1,15,Performance below expectations. PIP recommended.,2022-12-15
120,49,2023,4,91,Demonstrates leadership potential and initiative.,2023-12-15
121,49,2024,4,68,Exceeds expectations. Strong contributor to team goals.,2024-12-15
122,50,2022,3,70,Meets expectations consistently. Solid contributor.,2022-12-15
123,50,2023,4,85,Demonstrates leadership potential and initiative.,2023-12-15
124,50,2024,3,71,Reliable performance across assigned tasks.,2024-12-15
125,51,2022,5,100,Outstanding results and team impact. Promotion candidate.,2022-12-15
126,51,2023,4,75,Demonstrates leadership potential and initiative.,2023-12-15
127,51,2024,3,68,Meets expectations consistently. Solid contributor.,2024-12-15
128,52,2023,4,79,Exceeds expectations. Strong contributor to team goals.,2023-12-15
129,52,2024,5,87,Outstanding results and team impact. Promotion candidate.,2024-12-15
130,53,2023,4,84,Exceeds expectations. Strong contributor to team goals.,2023-12-15
131,53,2024,4,84,Demonstrates leadership potential and initiative.,2024-12-15
132,54,2024,3,56,Reliable performance across assigned tasks.,2024-12-15
133,55,2022,3,57,Reliable performance across assigned tasks.,2022-12-15
134,55,2023,2,35,Shows potential but inconsistent delivery.,2023-12-15
135,55,2024,4,64,Demonstrates leadership potential and initiative.,2024-12-15
136,56,2024,4,78,Demonstrates leadership potential and initiative.,2024-12-15
137,57,2023,4,86,Exceeds expectations. Strong contributor to team goals.,2023-12-15
138,57,2024,3,54,Meets expectations consistently. Solid contributor.,2024-12-15
139,58,2022,4,74,Exceeds expectations. Strong contributor to team goals.,2022-12-15
140,58,2023,4,91,Demonstrates leadership potential and initiative.,2023-12-15
141,58,2024,5,93,Exceptional performance. Top contributor.,2024-12-15
142,59,2022,1,40,Performance below expectations. PIP recommended.,2022-12-15
143,59,2023,3,63,Meets expectations consistently. Solid contributor.,2023-12-15
144,59,2024,4,71,Demonstrates leadership potential and initiative.,2024-12-15
145,60,2022,4,76,Exceeds expectations. Strong contributor to team goals.,2022-12-15
146,60,2023,3,52,Meets expectations consistently. Solid contributor.,2023-12-15
