record_id,emp_id,course_name,category,hours,enrollment_date,completion_date,status,score
1,1,Financial Modeling,Technical,20,2023-02-20,2023-05-19,Completed,73
2,1,Communication Skills,Soft Skills,8,2022-11-15,2022-12-20,Completed,84
3,1,Project Management Basics,Professional,12,2024-08-12,2024-10-17,Completed,73
4,1,Advanced Python,Technical,24,2025-01-02,2025-02-11,Completed,84
5,2,Financial Modeling,Technical,20,2022-11-19,,Enrolled,
6,2,Communication Skills,Soft Skills,8,2023-09-16,,Enrolled,
7,2,Advanced Python,Technical,24,2025-05-20,2025-06-30,Completed,96
8,2,Agile & Scrum,Professional,16,2023-11-03,2023-11-28,Completed,92
9,3,Cloud Architecture,Technical,32,2022-04-11,,Enrolled,
10,3,Sales Methodology,Sales,16,2023-09-05,2023-10-11,Completed,70
11,3,Machine Learning Basics,Technical,24,2024-04-08,2024-07-02,Completed,93
12,4,Advanced Python,Technical,24,2022-10-14,2022-10-29,Completed,71
13,4,Financial Modeling,Technical,20,2023-04-01,2023-05-10,Completed,96
14,4,Negotiation Skills,Professional,12,2024-03-31,2024-04-24,Completed,88
15,5,Negotiation Skills,Professional,12,2022-05-13,2022-07-22,Completed,95
16,5,Public Speaking,Soft Skills,12,2022-09-21,2022-11-16,Completed,73
17,5,Advanced Python,Technical,24,2022-03-29,2022-04-18,Completed,75
18,5,Leadership Fundamentals,Leadership,16,2025-03-21,2025-05-24,Completed,85
19,6,Sales Methodology,Sales,16,2024-05-23,2024-07-21,Completed,76
20,6,Diversity & Inclusion,Compliance,4,2023-01-19,2023-03-09,Completed,84
21,7,Leadership Fundamentals,Leadership,16,2025-06-17,2025-08-07,Completed,85
22,7,Customer Service Excellence,Soft Skills,8,2024-04-23,,In Progress,
23,7,Public Speaking,Soft Skills,12,2024-09-08,2024-10-03,Completed,78
24,8,Data Analysis with SQL,Technical,20,2023-07-23,,Enrolled,
25,8,Sales Methodology,Sales,16,2025-02-08,,In Progress,
26,8,Project Management Basics,Professional,12,2025-01-31,2025-04-03,Completed,95
27,8,Diversity & Inclusion,Compliance,4,2024-11-09,2025-01-23,Completed,87
28,8,Machine Learning Basics,Technical,24,2025-01-18,2025-03-17,Completed,99
29,9,Sales Methodology,Sales,16,2023-10-16,,In Progress,
30,9,Communication Skills,Soft Skills,8,2023-03-25,2023-05-13,Completed,71
