No.,Categoria,Tema Principal,Title in English,URL,Titulo en Español,URL,Fecha de Publicación,Estado de Publicación,Imagen,Interlineado
1,Dog,Exploring Dog,Exploring Dog Breeds: A Comprehensive Guide ,https://blog.carepet.ai/exploring-dog-breeds-a-comprehensive-guide/,Explorando las Razas de Perros: Una Guía Completa,https://blog.carepet.ai/es/explorando-las-razas-de-perros-una-guia-completa/,16/10/2024,Publicado Ingles / Español,1,1
2,Dog,Vaccination,Dog Vaccination: Everything You Need to Know,https://blog.carepet.ai/dog-vaccination-everything-you-need-to-know/,Vacunación Canina: Todo lo que Necesitas Saber,https://blog.carepet.ai/es/vacunacion-canina/,02/02/2025,Publicado Ingles / Español,1,1
3,Dog breed,Labrador,The Ultimate Labrador Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-chihuahua-guide-vaccinations-and-pet-care/,Guía Definitiva del Labrador: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-sobre-los-labradores-vacunacion-y-cuidados-integrales-para-tu-mascota/,22/03/2025,Publicado Ingles / Español,1,1
4,Dog breed,Chihuahua,The Ultimate Chihuahua Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-labrador-guide-vaccinations-and-pet-care/,Guía Definitiva del Chihuahua: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-chihuahua-vacunacion-y-cuidados/,22/03/2025,Publicado Ingles / Español,1,1
5,Dog,Best Food,Best Food Choices for Your Dog’s Health,https://blog.carepet.ai/best-food-choices-for-your-dogs-health/,Las Mejores Opciones de Alimentación para la Salud de tu Perro,https://blog.carepet.ai/es/las-mejores-opciones-de-alimentacion-para-la-salud-de-tu-perro/,28/03/2025,Publicado Ingles / Español,1,1
6,Cat,Exploring Cat,Exploring Cat Breeds: A Comprehensive Guide,https://blog.carepet.ai/exploring-cat-breeds-a-comprehensive-guide/,Explorando las Razas de Gatos: Una Guía Completa,https://blog.carepet.ai/es/explorando-las-razas-de-gatos-una-guia-completa/,28/11/2026,Publicado Ingles / Español,1,1
7,Dog breed,Aleman Guide,The Ultimate German Shepherd Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-german-shepherd-guide-vaccinations-and-pet-care/?i=1,Guía Definitiva del Pastor Alemán: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-pastor-aleman-vacunacion-y-cuidados/,28/11/2025,Publicado Ingles / Español,1,1
8,Dog breed,Bulldog Francés,The Ultimate French Bulldog Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-french-bulldog-guide-vaccination-and-pet-care/,Guía Definitiva del Bulldog Francés: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-bulldog-frances-vacunacion-y-cuidados/,29/11/2025,Publicado Ingles / Español,1,1
9,Dog breed,Golden Retriever,The Ultimate Golden Retriever Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-golden-retriever-guide-vaccination-and-pet-care/,Guía Definitiva del Golden Retriever: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-golden-retriever-vacunacion-y-cuidados/,04/12/2025,Publicado Ingles / Español,1,1
10,Dog breed,Poodle,The Ultimate Poodle Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-poodle-guide-vaccination-and-complete-care/,Guía Definitiva del Poodle: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-poodle-vacunacion-y-cuidados/,15/12/2025,Publicado Ingles / Español,1,1
11,Dog breed,Pomeranian,The Ultimate Pomeranian Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-pomeranian-guide-vaccination-and-pet-care/,Guía Definitiva del Pomerania: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-pomerania-vacunacion-y-cuidados/,20/12/2025,Publicado Ingles / Español,1,1
12,Dog breed,Shih Tzu,The Ultimate Shih Tzu Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-ultimate-shih-tzu-guide-vaccination-and-comprehensive-pet-care/,Guía Definitiva del Shih Tzu: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-shih-tzu-vacunacion-y-cuidados/,06/01/2026,Publicado Ingles / Español,1,1
13,Dog breed,Yorkshire Terrier,The Ultimate Yorkshire Terrier Guide: Vaccinations and Pet Care,https://blog.carepet.ai/the-complete-yorkshire-terrier-guide-vaccination-and-pet-care/,Guía Definitiva del Yorkshire Terrier: Vacunación y Cuidados,https://blog.carepet.ai/es/guia-definitiva-del-yorkshire-terrier-vacunacion-y-cuidados/,08/01/2026,Publicado Ingles / Español,1,1
