project_id,project_name,dept_id,budget,start_date,end_date,status,priority
1,Mobile App Redesign,1,450000,2023-01-15,2023-11-30,Completed,High
2,Cloud Migration Phase 1,1,680000,2023-04-01,2024-03-31,Completed,Critical
3,Cloud Migration Phase 2,1,520000,2024-04-01,2025-06-30,In Progress,Critical
4,API Platform v2,1,350000,2024-01-10,2024-12-31,Completed,High
5,Brand Campaign Q4,2,280000,2023-10-01,2024-01-31,Completed,Medium
6,SEO Optimization 2024,2,120000,2024-01-15,2024-12-31,Completed,Medium
7,Social Media Expansion,2,95000,2024-06-01,2025-05-31,In Progress,Low
8,Enterprise Sales Push,3,200000,2023-04-01,2024-03-31,Completed,High
9,CRM Implementation,3,320000,2024-02-01,2025-01-31,Completed,Critical
10,West Coast Expansion,3,450000,2024-07-01,2025-12-31,In Progress,High
11,Employee Wellness Program,4,85000,2023-08-01,2024-06-30,Completed,Medium
12,DEI Initiative,4,65000,2024-03-01,2025-02-28,Completed,High
13,Onboarding Automation,4,110000,2024-09-01,2025-08-31,In Progress,Medium
14,Financial Dashboard,5,180000,2023-09-01,2024-04-30,Completed,High
15,Budget Forecasting Tool,5,95000,2024-05-01,2025-03-31,In Progress,Medium
16,Support Ticket System v2,6,140000,2024-01-01,2024-10-31,Completed,High
17,Self-Service Portal,6,200000,2024-11-01,2025-09-30,In Progress,High
18,Product Analytics Platform,7,380000,2023-06-01,2024-05-31,Completed,Critical
19,Customer Feedback System,7,160000,2024-06-01,2025-04-30,In Progress,Medium
20,ML Recommendation Engine,8,500000,2024-01-01,2025-06-30,In Progress,Critical
