title_id,title,dept_id,level,min_salary,max_salary
1,VP Engineering,1,Executive,180000,220000
2,Engineering Manager,1,Manager,150000,180000
3,Senior Software Engineer,1,Senior,130000,160000
4,Software Engineer,1,Mid,100000,135000
5,Junior Software Engineer,1,Entry,75000,100000
6,QA Engineer,1,Mid,90000,120000
7,DevOps Engineer,1,Mid,110000,145000
8,Marketing Director,2,Executive,155000,190000
9,Marketing Manager,2,Manager,110000,140000
10,Marketing Analyst,2,Mid,72000,95000
11,Content Specialist,2,Entry,55000,75000
12,SEO Specialist,2,Mid,65000,90000
13,Sales Director,3,Executive,160000,200000
14,Regional Sales Manager,3,Manager,115000,150000
15,Senior Sales Representative,3,Senior,85000,120000
16,Sales Representative,3,Mid,60000,85000
17,Sales Development Rep,3,Entry,48000,65000
18,HR Director,4,Executive,140000,175000
19,HR Manager,4,Manager,95000,125000
20,HR Specialist,4,Mid,65000,85000
21,Recruiter,4,Entry,55000,72000
22,Finance Director,5,Executive,160000,200000
23,Senior Accountant,5,Senior,100000,130000
24,Accountant,5,Mid,75000,100000
25,Financial Analyst,5,Mid,80000,110000
26,Accounts Payable Clerk,5,Entry,50000,65000
27,Support Manager,6,Manager,85000,110000
28,Senior Support Specialist,6,Senior,65000,85000
29,Support Specialist,6,Entry,45000,62000
30,Product Director,7,Executive,170000,210000
31,Product Manager,7,Manager,130000,165000
32,Associate Product Manager,7,Mid,95000,125000
33,UX Designer,7,Mid,90000,120000
34,Data Science Director,8,Executive,185000,225000
35,Senior Data Scientist,8,Senior,145000,180000
36,Data Scientist,8,Mid,115000,150000
37,Data Analyst,8,Entry,75000,100000
38,ML Engineer,8,Senior,150000,190000
